key,max_radius,K_true,k_hat,Kmax,m_embed,selector,d_threshold,underestimate
R10,10,4,4,4,4,elbow,1,0
R9_75,9.75,4,4,4,4,elbow,1,0
R9_5,9.5,4,4,4,4,elbow,1,0
R9_25,9.25,4,4,4,4,elbow,1,0
R9,9,4,4,4,4,elbow,1,0
R8_75,8.75,4,4,4,4,elbow,1,0
R8_5,8.5,4,4,4,4,elbow,1,0
R8_25,8.25,4,4,4,4,elbow,1,0
R8,8,4,4,4,4,elbow,1,0
R7_75,7.75,4,4,4,4,elbow,1,0
R7_5,7.5,4,4,4,4,elbow,1,0
R7_25,7.25,4,4,4,4,elbow,1,0
R7,7,4,4,4,4,elbow,1,0
R6_75,6.75,4,4,4,4,elbow,1,0
R6_5,6.5,4,4,4,4,elbow,1,0
R6_25,6.25,4,4,4,4,elbow,1,0
R6,6,4,4,4,4,elbow,1,0
R5_75,5.75,4,4,4,4,elbow,1,0
R5_5,5.5,4,4,4,4,elbow,1,0
R5_25,5.25,4,4,4,4,elbow,1,0
R5,5,4,4,4,4,elbow,1,0
R4_75,4.75,4,4,4,4,elbow,1,0
R4_5,4.5,4,4,4,4,elbow,1,0
R4_25,4.25,4,4,4,4,elbow,1,0
R4,4,4,4,4,4,elbow,1,0
R3_75,3.75,4,4,4,4,elbow,1,0
R3_5,3.5,4,4,4,4,elbow,1,0
R3_25,3.25,4,4,4,4,elbow,1,0
R3,3,4,4,4,4,elbow,1,0
R2_75,2.75,4,4,4,4,elbow,1,0
R2_5,2.5,4,4,4,4,elbow,1,0
R2_25,2.25,4,4,4,4,elbow,1,0
R2,2,4,4,4,4,elbow,1,0
R1_75,1.75,4,4,4,4,elbow,1,0
R1_5,1.5,4,4,4,4,elbow,1,0
R1_25,1.25,4,4,4,4,elbow,1,0
R1,1,4,4,4,4,elbow,1,0
R0_75,0.75,4,1,4,4,elbow,1,1
R0_5,0.5,4,4,4,4,elbow,1,0
R0_25,0.25,4,4,4,4,elbow,1,0
R0,0,4,4,4,4,elbow,1,0
